Jahr,Note,Bundesland,Anzahl
2008,2.9,BE,764
2008,3,BE,802
2008,3.1,BE,758
2008,3.2,BE,689
2008,3.3,BE,601
2008,3.4,BE,496
2008,3.5,BE,294
2008,3.6,BE,168
2008,3.7,BE,58
2008,3.8,BE,8
2008,3.9,BE,0
2008,4,BE,0
2008,1,BW,767
2008,1.1,BW,486
2008,1.2,BW,657
2008,1.3,BW,793
2008,1.4,BW,922
2008,1.5,BW,1203
2008,1.6,BW,1353
2008,1.7,BW,1431
2008,1.8,BW,1693
2008,1.9,BW,1787
2008,2,BW,1894
2008,2.1,BW,2167
2008,2.2,BW,2186
2008,2.3,BW,2267
2008,2.4,BW,2212
2008,2.5,BW,2562
2008,2.6,BW,2470
2008,2.7,BW,2434
2008,2.8,BW,2397
2008,2.9,BW,2155
2008,3,BW,2111
2008,3.1,BW,1945
2008,3.2,BW,1662
2008,3.3,BW,1429
2008,3.4,BW,1034
2008,3.5,BW,740
2008,3.6,BW,393
2008,3.7,BW,153
2008,3.8,BW,20
2008,3.9,BW,0
2008,4,BW,1
2008,1,BY,351
2008,1.1,BY,276
2008,1.2,BY,359
2008,1.3,BY,525
2008,1.4,BY,617
2008,1.5,BY,859
2008,1.6,BY,967
2008,1.7,BY,1166
2008,1.8,BY,1298
2008,1.9,BY,1421
2008,2,BY,1524
2008,2.1,BY,1682
2008,2.2,BY,1906
2008,2.3,BY,1984
2008,2.4,BY,1934
2008,2.5,BY,2123
2008,2.6,BY,1998
2008,2.7,BY,2053
2008,2.8,BY,1879
2008,2.9,BY,1653
2008,3,BY,1561
2008,3.1,BY,1358
2008,3.2,BY,1211
2008,3.3,BY,964
2008,3.4,BY,786
2008,3.5,BY,534
2008,3.6,BY,270
2008,3.7,BY,139
2008,3.8,BY,46
2008,3.9,BY,6
2008,4,BY,6
2008,1,HB,42
2008,1.1,HB,27
2008,1.2,HB,25
2008,1.3,HB,48
2008,1.4,HB,63
2008,1.5,HB,62
2008,1.6,HB,77
2008,1.7,HB,110
2008,1.8,HB,113
2008,1.9,HB,104
2008,2,HB,128
2008,2.1,HB,121
2008,2.2,HB,132
2008,2.3,HB,141
2008,2.4,HB,131
2008,2.5,HB,153
2008,2.6,HB,129
2008,2.7,HB,115
2008,2.8,HB,157
2008,2.9,HB,109
2008,3,HB,135
